epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.947,0.99306,2.06281,1.14326,0.66322,0.52977,0.60796,0.41371,1.08214,2.16765,1.23218,0.000551581,0.000551581,0.000551581
2,585.736,1.09069,1.56534,1.19928,0.67672,0.59852,0.6125,0.40165,1.21508,1.76101,1.32893,0.00105244,0.00105244,0.00105244
3,1330.58,1.12511,1.36678,1.24395,0.52955,0.56247,0.56427,0.36697,1.17995,1.83659,1.35591,0.00149829,0.00149829,0.00149829
2,960.182,1.08507,1.52321,1.22348,0.66426,0.57842,0.64528,0.40155,1.21519,1.80768,1.34655,0.00105244,0.00105244,0.00105244
2,341.484,1.08507,1.52321,1.22348,0.66426,0.57842,0.64528,0.40155,1.21519,1.80768,1.34655,0.00105244,0.00105244,0.00105244
3,644.429,1.11712,1.35271,1.23461,0.70636,0.61494,0.66787,0.43501,1.17185,1.53994,1.27212,0.00149829,0.00149829,0.00149829
4,944.696,1.10616,1.23676,1.2348,0.63116,0.61357,0.6387,0.44345,1.11622,1.32453,1.24025,0.00141945,0.00141945,0.00141945
5,1619.39,1.07214,1.1036,1.21007,0.72118,0.68501,0.72701,0.48212,1.09131,1.41046,1.22313,0.00133693,0.00133693,0.00133693
6,2800.73,1.01051,0.99664,1.17475,0.73134,0.75691,0.78292,0.52735,0.9845,1.04459,1.16628,0.00125442,0.00125442,0.00125442
7,3779.7,0.99707,0.93902,1.15642,0.82453,0.75919,0.82464,0.56124,0.97082,0.8736,1.13821,0.0011719,0.0011719,0.0011719
8,4066.93,0.9633,0.8913,1.13859,0.82932,0.75649,0.82949,0.57799,0.94168,0.83516,1.12829,0.00108938,0.00108938,0.00108938
9,4350.85,0.92395,0.81421,1.11692,0.83363,0.7753,0.84544,0.58324,0.90421,0.82652,1.11356,0.00100687,0.00100687,0.00100687
10,4635.28,0.89978,0.80911,1.11291,0.87238,0.77622,0.86239,0.59735,0.91018,0.77073,1.11361,0.000924352,0.000924352,0.000924352
11,309.631,0.8821,0.80838,1.13603,0.82572,0.80628,0.85665,0.57553,0.8992,0.76452,1.12616,0.000841835,0.000841835,0.000841835
12,615.472,0.87124,0.74762,1.10602,0.86042,0.80783,0.86748,0.60551,0.88853,0.73412,1.10784,0.000759318,0.000759318,0.000759318
13,922.411,0.84179,0.67993,1.06976,0.87365,0.82991,0.89705,0.64164,0.84509,0.64929,1.0882,0.000676802,0.000676802,0.000676802
14,1224.11,0.82355,0.6537,1.05939,0.89451,0.82296,0.89052,0.6355,0.85737,0.65326,1.07713,0.000594286,0.000594286,0.000594286
15,1522.09,0.80753,0.6144,1.04027,0.91393,0.82239,0.89414,0.65294,0.8411,0.62159,1.07827,0.000511769,0.000511769,0.000511769
16,1831.47,0.77924,0.5761,1.03389,0.90554,0.84269,0.90793,0.66971,0.83108,0.5883,1.05993,0.000429253,0.000429253,0.000429253
17,2136.95,0.76017,0.55756,1.01907,0.90942,0.87444,0.92316,0.68103,0.82383,0.57862,1.05289,0.000346736,0.000346736,0.000346736
18,2432.06,0.75191,0.52361,1.00532,0.91145,0.87485,0.92914,0.68359,0.79204,0.55176,1.03964,0.00026422,0.00026422,0.00026422
19,2720.68,0.72865,0.50527,0.99917,0.93704,0.87019,0.93428,0.69123,0.80137,0.55555,1.03982,0.000181703,0.000181703,0.000181703
20,3307.44,0.70972,0.4934,0.99582,0.93051,0.87042,0.94031,0.7012,0.78187,0.52446,1.03376,9.91865e-05,9.91865e-05,9.91865e-05
